"komu" "ile" "kto" "kto_klub" "komu_klub"
"1" "Agnieszka Pomaska" 2 "Marek Ast" "PiS" "PO"
"2" "Arkadiusz Myrcha" 3 "Marek Ast" "PiS" "PO"
"3" "Cezary Grabarczyk" 1 "Marek Ast" "PiS" "PO"
"4" "Elżbieta Radziszewska" 4 "Marek Ast" "PiS" "PO"
"5" "Grzegorz Schetyna" 1 "Marek Ast" "PiS" "PO"
"6" "Iwona Ewa Arent" 1 "Marek Ast" "PiS" "PiS"
"7" "Iwona Śledzińska-Katarasińska" 2 "Marek Ast" "PiS" "PO"
"8" "Jakub Rutnicki" 1 "Marek Ast" "PiS" "PO"
"9" "Kamila Gasiuk-Pihowicz" 3 "Marek Ast" "PiS" "N"
"10" "Krystyna Pawłowicz" 1 "Marek Ast" "PiS" "PiS"
"11" "Krystyna Skowrońska" 3 "Marek Ast" "PiS" "PO"
"12" "Magdalena Kochan" 6 "Marek Ast" "PiS" "PO"
"13" "Marcin Święcicki" 1 "Marek Ast" "PiS" "PO"
"14" "Monika Wielichowska" 1 "Marek Ast" "PiS" "PO"
"15" "Rafał Grupiński" 6 "Marek Ast" "PiS" "PO"
"16" "Robert Kropiwnicki" 1 "Marek Ast" "PiS" "PO"
"17" "Sławomir Neumann" 1 "Marek Ast" "PiS" "PO"
"18" "Stefan Niesiołowski" 1 "Marek Ast" "PiS" "PO"
"19" "Zbigniew Konwiński" 1 "Marek Ast" "PiS" "PO"
"20" "Andrzej Halicki" 3 "Robert Kropiwnicki" "PO" "PO"
"21" "Anna Paluch" 3 "Robert Kropiwnicki" "PO" "PiS"
"22" "Arkadiusz Mularczyk" 3 "Robert Kropiwnicki" "PO" "PiS"
"23" "Czesław Hoc" 1 "Robert Kropiwnicki" "PO" "PiS"
"24" "Henryk Kowalczyk" 1 "Robert Kropiwnicki" "PO" "PiS"
"25" "Iwona Ewa Arent" 2 "Robert Kropiwnicki" "PO" "PiS"
"26" "Izabela Kloc" 1 "Robert Kropiwnicki" "PO" "PiS"
"27" "Jakub Rutnicki" 1 "Robert Kropiwnicki" "PO" "PO"
"28" "Jolanta Szczypińska" 4 "Robert Kropiwnicki" "PO" "PiS"
"29" "Krystyna Pawłowicz" 11 "Robert Kropiwnicki" "PO" "PiS"
"30" "Krystyna Skowrońska" 1 "Robert Kropiwnicki" "PO" "PO"
"31" "Krzysztof Brejza" 2 "Robert Kropiwnicki" "PO" "PO"
