"","komu","ile","kto","kto_klub","komu_klub"
"1","Agnieszka Pomaska",3,"Marek Ast","PiS","PO"
"2","Arkadiusz Myrcha",4,"Marek Ast","PiS","PO"
"3","Cezary Grabarczyk",2,"Marek Ast","PiS","PO"
"4","Elżbieta Radziszewska",4,"Marek Ast","PiS","PO"
"5","Grzegorz Schetyna",1,"Marek Ast","PiS","PO"
"6","Iwona Ewa Arent",1,"Marek Ast","PiS","PiS"
"7","Iwona Śledzińska-Katarasińska",2,"Marek Ast","PiS","PO"
"8","Jakub Rutnicki",1,"Marek Ast","PiS","PO"
"9","Joanna Mucha",1,"Marek Ast","PiS","PO"
"10","Kamila Gasiuk-Pihowicz",3,"Marek Ast","PiS","N"
"11","Kazimierz Plocke",1,"Marek Ast","PiS","PO"
"12","Krystyna Pawłowicz",1,"Marek Ast","PiS","PiS"
"13","Krystyna Skowrońska",3,"Marek Ast","PiS","PO"
"14","Krzysztof Brejza",1,"Marek Ast","PiS","PO"
"15","Magdalena Kochan",6,"Marek Ast","PiS","PO"
"16","Marcin Święcicki",1,"Marek Ast","PiS","PO"
"17","Monika Wielichowska",2,"Marek Ast","PiS","PO"
"18","Rafał Grupiński",6,"Marek Ast","PiS","PO"
"19","Robert Kropiwnicki",5,"Marek Ast","PiS","PO"
"20","Sławomir Neumann",1,"Marek Ast","PiS","PO"
"21","Stefan Niesiołowski",1,"Marek Ast","PiS","PO"
"22","Zbigniew Konwiński",1,"Marek Ast","PiS","PO"
"23","Andrzej Halicki",3,"Robert Kropiwnicki","PO","PO"
"24","Anna Paluch",3,"Robert Kropiwnicki","PO","PiS"
"25","Arkadiusz Mularczyk",3,"Robert Kropiwnicki","PO","PiS"
"26","Czesław Hoc",1,"Robert Kropiwnicki","PO","PiS"
"27","Henryk Kowalczyk",1,"Robert Kropiwnicki","PO","PiS"
"28","Iwona Ewa Arent",2,"Robert Kropiwnicki","PO","PiS"
"29","Izabela Kloc",1,"Robert Kropiwnicki","PO","PiS"
"30","Jakub Rutnicki",1,"Robert Kropiwnicki","PO","PO"
"31","Jolanta Szczypińska",4,"Robert Kropiwnicki","PO","PiS"
"32","Krystyna Pawłowicz",11,"Robert Kropiwnicki","PO","PiS"
"33","Krystyna Skowrońska",1,"Robert Kropiwnicki","PO","PO"
"34","Krzysztof Brejza",2,"Robert Kropiwnicki","PO","PO"
"35","Magdalena Kochan",2,"Robert Kropiwnicki","PO","PO"
"36","Maks Kraczkowski",1,"Robert Kropiwnicki","PO","PiS"
"37","Marek Ast",1,"Robert Kropiwnicki","PO","PiS"
"38","Marek Suski",4,"Robert Kropiwnicki","PO","PiS"
"39","Marzena Machałek",3,"Robert Kropiwnicki","PO","PiS"
"40","Paweł Kukiz",1,"Robert Kropiwnicki","PO","Kukiz15"
"41","Piotr Gliński",1,"Robert Kropiwnicki","PO","PiS"
"42","Piotr Kaleta",1,"Robert Kropiwnicki","PO","PiS"
"43","Rafał Grupiński",1,"Robert Kropiwnicki","PO","PO"
"44","Ryszard Terlecki",1,"Robert Kropiwnicki","PO","PiS"
"45","Sławomir Nitras",1,"Robert Kropiwnicki","PO","PO"
"46","Stanisław Piotrowicz",2,"Robert Kropiwnicki","PO","PiS"
"47","Waldemar Andzel",4,"Robert Kropiwnicki","PO","PiS"
"48","Wojciech Skurkiewicz",6,"Robert Kropiwnicki","PO","PiS"
"49","Zbigniew Ziobro",1,"Robert Kropiwnicki","PO","PiS"
"50","Anna Cicholska",1,"Kamila Gasiuk-Pihowicz","N","PiS"
"51","Anna Kwiecień",2,"Kamila Gasiuk-Pihowicz","N","PiS"
"52","Anna Paluch",7,"Kamila Gasiuk-Pihowicz","N","PiS"
"53","Anna Zalewska",1,"Kamila Gasiuk-Pihowicz","N","PiS"
"54","Beata Mazurek",1,"Kamila Gasiuk-Pihowicz","N","PiS"
"55","Błażej Parda",5,"Kamila Gasiuk-Pihowicz","N","Kukiz15"
"56","Bogdan Rzońca",1,"Kamila Gasiuk-Pihowicz","N","PiS"
"57","Cezary Grabarczyk",2,"Kamila Gasiuk-Pihowicz","N","PO"
"58","Dominik Tarczyński",1,"Kamila Gasiuk-Pihowicz","N","PiS"
"59","Dorota Arciszewska-Mielewczyk",1,"Kamila Gasiuk-Pihowicz","N","PiS"
"60","Elżbieta Rafalska",1,"Kamila Gasiuk-Pihowicz","N","PiS"
"61","Ewa Kopacz",2,"Kamila Gasiuk-Pihowicz","N","PO"
"62","Iwona Ewa Arent",4,"Kamila Gasiuk-Pihowicz","N","PiS"
"63","Izabela Kloc",2,"Kamila Gasiuk-Pihowicz","N","PiS"
"64","Jakub Rutnicki",1,"Kamila Gasiuk-Pihowicz","N","PO"
"65","Jolanta Szczypińska",3,"Kamila Gasiuk-Pihowicz","N","PiS"
"66","Krystyna Pawłowicz",7,"Kamila Gasiuk-Pihowicz","N","PiS"
"67","Krystyna Wróblewska",3,"Kamila Gasiuk-Pihowicz","N","PiS"
"68","Marek Jakubiak",2,"Kamila Gasiuk-Pihowicz","N","Kukiz15"
"69","Marek Suski",1,"Kamila Gasiuk-Pihowicz","N","PiS"
"70","Marzena Machałek",6,"Kamila Gasiuk-Pihowicz","N","PiS"
"71","Monika Wielichowska",1,"Kamila Gasiuk-Pihowicz","N","PO"
"72","Piotr Kaleta",4,"Kamila Gasiuk-Pihowicz","N","PiS"
"73","Rafał Grupiński",1,"Kamila Gasiuk-Pihowicz","N","PO"
"74","Ryszard Petru",1,"Kamila Gasiuk-Pihowicz","N","N"
"75","Sylwester Tułajew",2,"Kamila Gasiuk-Pihowicz","N","PiS"
"76","Teresa Piotrowska",1,"Kamila Gasiuk-Pihowicz","N","PO"
"77","Tomasz Latos",3,"Kamila Gasiuk-Pihowicz","N","PiS"
"78","Waldemar Andzel",3,"Kamila Gasiuk-Pihowicz","N","PiS"
"79","Wojciech Jasiński",1,"Kamila Gasiuk-Pihowicz","N","PiS"
"80","Wojciech Skurkiewicz",4,"Kamila Gasiuk-Pihowicz","N","PiS"
"81","Agnieszka Pomaska",2,"Andrzej Jaworski","PiS","PO"
"82","Andrzej Halicki",1,"Andrzej Jaworski","PiS","PO"
"83","Arkadiusz Myrcha",2,"Andrzej Jaworski","PiS","PO"
"84","Ewa Kopacz",5,"Andrzej Jaworski","PiS","PO"
"85","Grzegorz Schetyna",4,"Andrzej Jaworski","PiS","PO"
"86","Jolanta Szczypińska",1,"Andrzej Jaworski","PiS","PiS"
"87","Krystyna Pawłowicz",8,"Andrzej Jaworski","PiS","PiS"
"88","Krystyna Skowrońska",2,"Andrzej Jaworski","PiS","PO"
"89","Magdalena Kochan",3,"Andrzej Jaworski","PiS","PO"
"90","Rafał Grupiński",5,"Andrzej Jaworski","PiS","PO"
"91","Robert Telus",1,"Andrzej Jaworski","PiS","PiS"
"92","Urszula Augustyn",1,"Andrzej Jaworski","PiS","PO"
"93","Cezary Grabarczyk",2,"Arkadiusz Myrcha","PO","PO"
"94","Elżbieta Witek",1,"Arkadiusz Myrcha","PO","PiS"
"95","Ewa Kopacz",1,"Arkadiusz Myrcha","PO","PO"
"96","Joanna Borowiak",2,"Arkadiusz Myrcha","PO","PiS"
"97","Jolanta Szczypińska",1,"Arkadiusz Myrcha","PO","PiS"
"98","Józefa Szczurek-Żelazko",1,"Arkadiusz Myrcha","PO","PiS"
"99","Krystyna Pawłowicz",8,"Arkadiusz Myrcha","PO","PiS"
"100","Krystyna Skowrońska",1,"Arkadiusz Myrcha","PO","PO"
"101","Marek Suski",2,"Arkadiusz Myrcha","PO","PiS"
"102","Marzena Machałek",1,"Arkadiusz Myrcha","PO","PiS"
"103","Piotr Kaleta",1,"Arkadiusz Myrcha","PO","PiS"
"104","Rafał Grupiński",2,"Arkadiusz Myrcha","PO","PO"
"105","Stanisław Piotrowicz",2,"Arkadiusz Myrcha","PO","PiS"
"106","Wojciech Szarama",1,"Arkadiusz Myrcha","PO","PiS"
"107","Zbigniew Dolata",1,"Arkadiusz Myrcha","PO","PiS"
"108","Andrzej Halicki",3,"Michał Wójcik","PiS","PO"
"109","Arkadiusz Myrcha",19,"Michał Wójcik","PiS","PO"
"110","Barbara Dolniak",2,"Michał Wójcik","PiS","N"
"111","Borys Budka",3,"Michał Wójcik","PiS","PO"
"112","Danuta Pietraszewska",2,"Michał Wójcik","PiS","PO"
"113","Ewa Kopacz",5,"Michał Wójcik","PiS","PO"
"114","Grzegorz Długi",3,"Michał Wójcik","PiS","Kukiz15"
"115","Grzegorz Schetyna",1,"Michał Wójcik","PiS","PO"
"116","Iwona Arent",7,"Michał Wójcik","PiS","PiS"
"117","Jakub Rutnicki",1,"Michał Wójcik","PiS","PO"
"118","Joanna Schmidt",1,"Michał Wójcik","PiS","N"
"119","Krystyna Pawłowicz",21,"Michał Wójcik","PiS","PiS"
"120","Krystyna Skowrońska",2,"Michał Wójcik","PiS","PO"
"121","Magdalena Kochan",7,"Michał Wójcik","PiS","PO"
"122","Małgorzata Kidawa-Błońska",1,"Michał Wójcik","PiS","PO"
"123","Paweł Olszewski",1,"Michał Wójcik","PiS","PO"
"124","Piotr Kaleta",1,"Michał Wójcik","PiS","PiS"
"125","Rafał Grupiński",4,"Michał Wójcik","PiS","PO"
"126","Robert Kropiwnicki",13,"Michał Wójcik","PiS","PO"
"127","Stefan Niesiołowski",3,"Michał Wójcik","PiS","PO"
"128","Tadeusz Aziewicz",1,"Michał Wójcik","PiS","PO"
"129","Wojciech Skurkiewicz",1,"Michał Wójcik","PiS","PiS"
"130","Anna Paluch",6,"Krzysztof Paszyk","PSL","PiS"
"131","Arkadiusz Czartoryski",1,"Krzysztof Paszyk","PSL","PiS"
"132","Błażej Parda",1,"Krzysztof Paszyk","PSL","Kukiz15"
"133","Cezary Grabarczyk",2,"Krzysztof Paszyk","PSL","PO"
"134","Dominik Tarczyński",2,"Krzysztof Paszyk","PSL","PiS"
"135","Grzegorz Schetyna",1,"Krzysztof Paszyk","PSL","PO"
"136","Iwona Arent",2,"Krzysztof Paszyk","PSL","PiS"
"137","Jolanta Szczypińska",1,"Krzysztof Paszyk","PSL","PiS"
"138","Krystyna Pawłowicz",3,"Krzysztof Paszyk","PSL","PiS"
"139","Marek Ast",1,"Krzysztof Paszyk","PSL","PiS"
"140","Marek Jakubiak",2,"Krzysztof Paszyk","PSL","Kukiz15"
"141","Marek Suski",1,"Krzysztof Paszyk","PSL","PiS"
"142","Piotr Kaleta",12,"Krzysztof Paszyk","PSL","PiS"
"143","Ryszard Terlecki",1,"Krzysztof Paszyk","PSL","PiS"
"144","Waldemar Andzel",3,"Krzysztof Paszyk","PSL","PiS"
"145","Władysław Kosiniak-Kamysz",1,"Krzysztof Paszyk","PSL","PSL"
"146","Wojciech Skurkiewicz",2,"Krzysztof Paszyk","PSL","PiS"
"147","Cezary Grabarczyk",1,"Marcin Horała","PiS","PO"
"148","Iwona Śledzińska-Katarasińska",1,"Marcin Horała","PiS","PO"
"149","Rafał Grupiński",1,"Marcin Horała","PiS","PO"
"150","Henryk Kowalczyk",1,"Joanna Frydrych","PO","PiS"
"151","Piotr Kaleta",1,"Joanna Frydrych","PO","PiS"
"152","Anna Kwiecień",2,"Joanna Scheuring-Wielgus","N","PiS"
"153","Anna Paluch",2,"Joanna Scheuring-Wielgus","N","PiS"
"154","Arkadiusz Czartoryski",1,"Joanna Scheuring-Wielgus","N","PiS"
"155","Arkadiusz Myrcha",2,"Joanna Scheuring-Wielgus","N","PO"
"156","Cezary Grabarczyk",1,"Joanna Scheuring-Wielgus","N","PO"
"157","Iwona Arent",1,"Joanna Scheuring-Wielgus","N","PiS"
"158","Izabela Kloc",3,"Joanna Scheuring-Wielgus","N","PiS"
"159","Izabela Leszczyna",1,"Joanna Scheuring-Wielgus","N","PO"
"160","Jakub Rutnicki",2,"Joanna Scheuring-Wielgus","N","PO"
"161","Joanna Scheuring-Wielgus przemawia przy wyłączonym mikrofonie",1,"Joanna Scheuring-Wielgus","N","N"
"162","Jolanta Szczypińska",1,"Joanna Scheuring-Wielgus","N","PiS"
"163","Kamila Gasiuk-Pihowicz",4,"Joanna Scheuring-Wielgus","N","N"
"164","Krystyna Pawłowicz",18,"Joanna Scheuring-Wielgus","N","PiS"
"165","Magdalena Kochan",1,"Joanna Scheuring-Wielgus","N","PO"
"166","Małgorzata Kidawa-Błońska",1,"Joanna Scheuring-Wielgus","N","PO"
"167","Marek Jakubiak",5,"Joanna Scheuring-Wielgus","N","Kukiz15"
"168","Marzena Machałek",2,"Joanna Scheuring-Wielgus","N","PiS"
"169","Mirosława Nykiel",1,"Joanna Scheuring-Wielgus","N","PO"
"170","Patryk Jaki",1,"Joanna Scheuring-Wielgus","N","PiS"
"171","Piotr Kaleta",11,"Joanna Scheuring-Wielgus","N","PiS"
"172","Rafał Grupiński",1,"Joanna Scheuring-Wielgus","N","PO"
"173","Ryszard Petru",1,"Joanna Scheuring-Wielgus","N","N"
"174","Stanisław Piotrowicz",1,"Joanna Scheuring-Wielgus","N","PiS"
"175","Sylwester Tułajew",3,"Joanna Scheuring-Wielgus","N","PiS"
"176","Waldemar Andzel",2,"Joanna Scheuring-Wielgus","N","PiS"
"177","Wojciech Skurkiewicz",2,"Joanna Scheuring-Wielgus","N","PiS"
"178","Zbigniew Babalski",1,"Joanna Scheuring-Wielgus","N","PiS"
"179","Zbigniew Dolata",1,"Joanna Scheuring-Wielgus","N","PiS"
"180","Marek Jakubiak",1,"Wojciech Wilk","PO","Kukiz15"
"181","Robert Kropiwnicki",1,"Wojciech Wilk","PO","PO"
"182","Stanisław Piotrowicz",1,"Wojciech Wilk","PO","PiS"
"183","Andrzej Halicki",2,"Borys Budka","PO","PO"
"184","Anna Paluch",1,"Borys Budka","PO","PiS"
"185","Anna Zalewska",1,"Borys Budka","PO","PiS"
"186","Cezary Tomczyk",1,"Borys Budka","PO","PO"
"187","Grzegorz Schetyna",1,"Borys Budka","PO","PO"
"188","Henryk Kowalczyk",2,"Borys Budka","PO","PiS"
"189","Izabela Kloc",2,"Borys Budka","PO","PiS"
"190","Jakub Rutnicki",2,"Borys Budka","PO","PO"
"191","Krystyna Pawłowicz",10,"Borys Budka","PO","PiS"
"192","Krystyna Skowrońska",2,"Borys Budka","PO","PO"
"193","Marek Suski",2,"Borys Budka","PO","PiS"
"194","Marzena Machałek",2,"Borys Budka","PO","PiS"
"195","Piotr Kaleta",1,"Borys Budka","PO","PiS"
"196","Ryszard Terlecki",2,"Borys Budka","PO","PiS"
